"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2023","11.6370","11.9170","12.5280","11.1430","9.07M","-2.17%"
"12/25/2023","11.8950","11.2450","12.0540","11.0250","4.91M","5.94%"
"12/24/2023","11.2280","11.3560","11.7420","11.0710","5.38M","-0.90%"
"12/23/2023","11.3300","11.4030","11.4160","11.0510","3.27M","-0.53%"
"12/22/2023","11.3900","11.4290","11.7390","10.9920","5.27M","-0.10%"
"12/21/2023","11.4010","10.6520","11.5020","10.4930","6.57M","6.92%"
"12/20/2023","10.6630","10.4110","10.8980","10.2530","4.64M","2.36%"
"12/19/2023","10.4170","10.9020","11.0200","10.2940","3.60M","-4.40%"
"12/18/2023","10.8970","11.1120","11.1370","10.2220","4.68M","-1.89%"
"12/17/2023","11.1070","12.0630","12.0630","11.0700","4.56M","-7.80%"
"12/16/2023","12.0460","10.9050","12.0910","10.7110","4.89M","10.65%"
"12/15/2023","10.8870","11.5350","11.5370","10.8360","4.17M","-5.52%"
"12/14/2023","11.5230","11.6360","11.9250","11.1710","6.06M","-1.11%"
"12/13/2023","11.6520","11.7530","11.8750","10.7640","9.21M","-0.69%"
"12/12/2023","11.7330","9.8610","12.3570","9.8330","13.34M","19.00%"
"12/11/2023","9.8600","10.6790","10.6910","9.4840","5.75M","-7.80%"
"12/10/2023","10.6940","10.5050","10.6950","10.1300","2.86M","2.18%"
"12/09/2023","10.4660","10.4080","11.3110","10.4080","6.76M","0.48%"
"12/08/2023","10.4160","9.9160","10.6780","9.8290","4.83M","5.18%"
"12/07/2023","9.9030","9.7460","10.0290","9.5750","3.87M","1.56%"
"12/06/2023","9.7510","9.8960","10.2820","9.7140","6.08M","-1.42%"
"12/05/2023","9.8910","9.7840","9.9310","9.4880","3.82M","1.24%"
"12/04/2023","9.7700","9.5500","9.8720","9.2610","5.67M","2.45%"
"12/03/2023","9.5360","9.6330","9.6540","9.3700","1.81M","-1.03%"
"12/02/2023","9.6350","9.4710","9.6990","9.3940","1.95M","1.79%"
"12/01/2023","9.4660","9.2460","9.4690","9.1800","1.85M","2.35%"
"11/30/2023","9.2490","9.2220","9.3800","9.1300","2.46M","0.29%"
"11/29/2023","9.2220","9.2570","9.3210","9.0190","2.47M","-0.35%"
"11/28/2023","9.2540","9.2890","9.3550","8.8060","3.33M","-0.54%"
"11/27/2023","9.3040","9.9410","9.9410","8.9620","3.90M","-6.12%"
