pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.02,3,0.11,-0.04237391307215544,1.772816262480211,1.440259,-0.3794,-0.467,60.12,-0.2286,0.8809,326.69919654136646,370.8528139625524,131
0.02,3,0.12,-0.037632686390075734,1.807880979050091,1.479418,-0.3304,-0.4038,57.66,-0.2232,0.8884,312.0074931984666,351.22075241692556,132
0.02,3,0.13,-0.03528797406675987,1.7758502352764665,1.448974,-0.3154,-0.3866,55.18,-0.2214,0.887,288.6335451697232,325.4036141472871,133
0.02,3,0.14,-0.02313450343993599,1.6604721938055955,1.338704,-0.2212,-0.2743,49.68,-0.1813,0.9125,251.46925432179307,275.5754069062064,134
0.02,3,0.15,-0.0205454124941074,1.720509099479332,1.380487,-0.1896,-0.2363,45.44,-0.1906,0.9224,254.40450825361302,275.8128280724729,135
0.02,4,0.01,-0.1558411466761226,1.2216227418326906,1.047861,-2.0251,-2.3609,81.99,-0.4122,0.6486,299.7866135954815,462.17308843200124,136
0.02,4,0.02,-0.1622294002924221,1.417984513173003,1.21458,-1.8162,-2.1203,83.73,-0.4215,0.6709,344.57539481129135,513.6184299159952,137
0.02,4,0.03,-0.17068874299434278,1.5452707679342892,1.328435,-1.7535,-2.0397,85.33,-0.4335,0.6756,370.35522083610385,548.212891036209,138
0.02,4,0.04,-0.17002188168518978,1.6630762123948344,1.413172,-1.6229,-1.9099,85.58,-0.4344,0.6863,387.6522866051011,564.8150873210687,139
0.02,4,0.05,-0.1720153297632499,1.7121348274140282,1.458032,-1.5949,-1.8728,86.34,-0.4358,0.6874,394.06000948459763,573.299983097904,140
0.02,4,0.06,-0.164600172420193,1.906331265881553,1.621947,-1.3707,-1.611,85.82,-0.4317,0.7072,414.35551783139186,585.8688974932329,141
0.02,4,0.07,-0.12359609015117314,1.9448206352906365,1.619405,-1.0088,-1.2116,81.58,-0.3716,0.7706,432.60820844780545,561.3953343853277,142
0.02,4,0.08,-0.11882523004465922,2.0069306042484065,1.651205,-0.9399,-1.1424,78.88,-0.3763,0.7805,440.29182667074895,564.1077163772839,143
0.02,4,0.09,-0.11134417033919933,1.899521800383577,1.573013,-0.9305,-1.1237,77.47,-0.3609,0.7697,387.76675136207007,503.78737685551573,144
0.02,4,0.1,-0.09971352763295538,2.0161753118497745,1.635796,-0.7851,-0.9677,75.94,-0.3456,0.7951,403.2258401213713,507.12733591491065,145
0.02,4,0.11,-0.09393066200988882,2.0448633111186285,1.689839,-0.7292,-0.8824,76.71,-0.3298,0.8004,392.5051707666042,490.38092058090825,146
0.02,4,0.12,-0.057813056172649965,1.9238973549883225,1.570061,-0.477,-0.5845,72.05,-0.245,0.8531,349.82685652025094,410.0680610521522,147
0.02,4,0.13,-0.03900631760310854,1.8416996926674287,1.48433,-0.3362,-0.4172,60.2,-0.2209,0.8849,312.56593751784567,353.2105204602848,148
0.02,4,0.14,-0.04268130556298777,1.8181605312496685,1.470017,-0.3727,-0.4609,56.15,-0.2494,0.8667,289.28865457019765,333.762574966831,149
0.02,4,0.15,-0.05475952695465701,1.7876563605003182,1.452732,-0.4863,-0.5984,57.9,-0.2844,0.8137,249.2198731759716,306.2793002627241,150
0.02,5,0.01,-0.08614940267049097,1.1317221136315518,0.892961,-1.2084,-1.5315,68.53,-0.3039,0.7833,324.49342436317164,414.2611019458232,151
0.02,5,0.02,-0.07762786517778807,1.2872335790245446,1.004317,-0.9573,-1.227,64.93,-0.3002,0.8198,367.9841721765349,448.8724076917901,152
0.02,5,0.03,-0.08728809494707836,1.3802639630171059,1.084038,-1.0039,-1.2782,68.86,-0.3149,0.8112,390.8631853581256,481.8173802929812,153
0.02,5,0.04,-0.11205508854808532,1.4885813706733908,1.194851,-1.195,-1.4887,76.95,-0.3473,0.7778,408.826237816551,525.587640083656,154
0.02,5,0.05,-0.1232927206961797,1.5679635559217184,1.268989,-1.2483,-1.5423,78.09,-0.3713,0.7674,423.8250350898165,552.2960500552358,155
0.02,5,0.06,-0.10419914936785007,1.5826479487142404,1.251801,-1.0452,-1.3214,75.33,-0.3389,0.8,434.31080245922357,542.8863161005233,156
0.02,5,0.07,-0.10642243566917936,1.7470637224450605,1.392207,-0.967,-1.2135,80.55,-0.3287,0.8042,455.3796987188169,566.2718766861017,157
0.02,5,0.08,-0.11260938779352334,1.8061875456179446,1.424985,-0.9897,-1.2545,80.11,-0.347,0.7915,445.5020740331911,562.8410561140423,158
0.02,5,0.09,-0.10868358219044107,1.839278573055082,1.457779,-0.938,-1.1835,79.18,-0.3435,0.7957,441.0781980219449,554.3264906643846,159
0.02,5,0.1,-0.12193802983162254,1.8179939584996463,1.468404,-1.0647,-1.3182,79.78,-0.3702,0.764,411.35780541348294,538.4172324980336,160
0.02,5,0.11,-0.09339933832327713,2.02126704112425,1.651766,-0.7335,-0.8976,72.53,-0.3458,0.8122,420.77664359956515,518.09875413242,161
0.02,5,0.12,-0.08407581682865947,2.007441858145635,1.630601,-0.6649,-0.8185,69.91,-0.3325,0.8205,400.40127469291605,488.0082758283792,162
0.02,5,0.13,-0.10465653236851544,2.0504774823588354,1.681312,-0.8102,-0.9881,74.66,-0.3656,0.7763,378.39937469498295,487.45148142297603,163
0.02,5,0.14,-0.10588242134761795,2.081248544354377,1.711236,-0.8076,-0.9822,74.97,-0.3687,0.7711,371.68092792913956,482.01041097335747,164
0.02,5,0.15,-0.1403097179744574,2.011802009206163,1.708094,-1.1071,-1.304,82.43,-0.4057,0.6793,309.71651556577194,455.9192416951566,165
0.02,6,0.01,-0.08932088776128849,1.1810238670433346,0.916075,-1.2006,-1.5478,72.96,-0.2956,0.7814,332.6719910838995,425.74435613116214,166
0.02,6,0.02,-0.08512384074482862,1.2554339163825659,0.963707,-1.0764,-1.4022,74.21,-0.2818,0.8023,359.875543274246,448.5745853303574,167
0.02,6,0.03,-0.08035170506661253,1.3285572062854678,1.024549,-0.9601,-1.245,71.54,-0.2817,0.8254,395.6752665448522,479.4017432242624,168
0.02,6,0.04,-0.06725019072706714,1.4130358753293926,1.061442,-0.7555,-1.0058,69.93,-0.2531,0.8544,411.0691421820009,481.14384091960494,169
0.02,6,0.05,-0.05949645227527665,1.555201615085014,1.19246,-0.6073,-0.792,66.33,-0.2493,0.8777,445.03571688095695,507.0310201517952,170
0.02,6,0.06,-0.07570025082434594,1.6354437655503768,1.237574,-0.7348,-0.971,70.12,-0.2871,0.8511,451.00173767888504,529.8813990378535,171
