rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.45,5,0.03,-20.408173724204293,13.221227791481793,10.171683,-1.5436,-2.0064,62.67,-0.306,0.7478,250.2078378391203,334.5940164923777,153
0.45,5,0.04,-22.437951189316244,15.282995769139559,11.987769,-1.4682,-1.8717,66.57,-0.3161,0.7527,282.40555332737307,375.1847007054188,154
0.45,5,0.05,-26.16396314045063,17.351476952835583,13.863247,-1.5079,-1.8873,72.13,-0.3355,0.7402,308.17245073750377,416.358361818256,155
0.45,5,0.06,-24.738346343151985,18.92344381237541,14.850588,-1.3073,-1.6658,72.07,-0.3237,0.7719,346.14452944498373,448.4356282130963,156
0.45,5,0.07,-27.30567704643735,20.553963665465457,16.220782,-1.3285,-1.6834,75.23,-0.3392,0.7694,376.70244388560616,489.6092513553987,157
0.45,5,0.08,-27.692625170993978,22.267408563219483,17.577618,-1.2436,-1.5754,75.01,-0.3477,0.7808,407.8949465713375,522.4017538260032,158
0.45,5,0.09,-25.803836594727912,23.45202885668691,18.379971,-1.1003,-1.4039,74.73,-0.3329,0.804,437.78105402466787,544.4778704203285,159
0.45,5,0.1,-29.066761912954732,24.788167100119306,19.555777,-1.1726,-1.4864,80.92,-0.3403,0.7882,447.2858402419397,567.4745938661414,160
0.45,5,0.11,-31.29628373038634,27.273446997395208,21.855007,-1.1475,-1.432,83.93,-0.353,0.7833,467.81574650521753,597.2233958983229,161
0.45,5,0.12,-33.560188615452745,29.468341763085864,24.009168,-1.1389,-1.3978,86.6,-0.3659,0.7796,490.9734933211327,629.7422097389967,162
0.45,5,0.13,-32.40207933972844,30.12275911208682,24.440304,-1.0757,-1.3258,86.59,-0.3583,0.7863,492.9968967706213,626.9769232467999,163
0.45,5,0.14,-26.994785393708515,29.939111985557105,24.110969,-0.9017,-1.1196,82.77,-0.328,0.8097,474.83677332399196,586.4580684836915,164
0.45,5,0.15,-26.70729244876086,30.624494740778335,24.516838,-0.8721,-1.0893,82.08,-0.33,0.8064,459.94152208036405,570.3740567296054,165
0.45,6,0.01,-23.245911435296843,10.953669446242902,8.707644,-2.1222,-2.6696,66.21,-0.3206,0.6671,192.6110928168079,288.7310916881544,166
0.45,6,0.02,-23.757321705256008,11.951943687169098,9.447065,-1.9877,-2.5148,67.4,-0.3222,0.6839,212.58057966821218,310.81521941772314,167
0.45,6,0.03,-24.95297176117206,13.052488992459232,10.238254,-1.9117,-2.4372,69.7,-0.3265,0.6949,234.96621956525976,338.1447774031219,168
0.45,6,0.04,-26.099027404156416,14.784000435561381,11.649956,-1.7654,-2.2403,71.36,-0.3338,0.7102,264.47581768661996,372.39322465142544,169
0.45,6,0.05,-29.198692619306556,15.859704312479844,12.837476,-1.8411,-2.2745,74.52,-0.3526,0.7024,285.01601949139666,405.7502961156722,170
0.45,6,0.06,-32.85009594673852,18.450275792138918,15.292775,-1.7805,-2.1481,78.61,-0.3721,0.7018,319.719675714456,455.55221530374774,171
0.45,6,0.07,-35.460866680236656,19.847213976789323,16.551096,-1.7867,-2.1425,81.42,-0.384,0.7022,345.8041970616794,492.43206642995955,172
0.45,6,0.08,-33.37274583014789,21.809870399453857,17.80322,-1.5302,-1.8745,80.32,-0.3747,0.7357,384.0876453745417,522.0813007515818,173
0.45,6,0.09,-30.654552097846977,22.459628301431017,18.301077,-1.3649,-1.675,79.95,-0.3537,0.7624,406.63787738467204,533.3920174083092,174
0.45,6,0.1,-28.42252537148367,24.012970128709014,19.09228,-1.1836,-1.4887,80.89,-0.3328,0.7892,440.0343699402323,557.5592565953353,175
